CustomerID,Month,TotalPurchases
12345,2010-12,108137.92
12345,2011-01,66208.75
12345,2011-02,49085.29
12345,2011-03,63945.67
12345,2011-04,38047.24
12345,2011-05,52264.57
12345,2011-06,61090.47
12345,2011-07,68271.18
12345,2011-08,50833.82
12345,2011-09,60255.68
12345,2011-10,62780.909999999996
12345,2011-11,117687.93
12345,2011-12,54393.96
12346,2011-01,2.08
12347,2010-12,89.59
12347,2011-01,73.17
12347,2011-04,62.29
12347,2011-06,53.62
12347,2011-08,68.24000000000001
12347,2011-10,120.76
12347,2011-12,13.54
12348,2010-12,49.6
12348,2011-01,42.01
12348,2011-04,44.6
12348,2011-09,42.5
12349,2011-11,605.1
12350,2011-02,65.3
12352,2011-02,68.35
12352,2011-03,1831.72
12352,2011-09,224.5
12352,2011-11,86.53
12353,2011-05,24.299999999999997
12354,2011-04,261.22
12355,2011-05,54.65
12356,2011-01,114.18
12356,2011-04,50.99
12356,2011-11,23.7
12357,2011-11,438.67
12358,2011-07,92.63
12358,2011-12,64.58
12359,2011-01,292.01
12359,2011-02,809.98
12359,2011-04,17.9
12359,2011-06,231.0
12359,2011-10,804.87
12359,2011-12,69.35
12360,2011-05,164.63
12360,2011-08,106.13
12360,2011-10,187.15
12361,2011-02,33.35
12362,2011-02,77.1
12362,2011-04,84.13
12362,2011-07,94.75999999999999
12362,2011-08,68.91
12362,2011-09,181.45
12362,2011-10,400.5
12362,2011-11,72.57000000000001
12362,2011-12,103.87
12363,2011-04,36.5
12363,2011-08,16.67
12364,2011-08,69.42
12364,2011-09,15.36
12364,2011-10,43.33
12364,2011-12,34.26
12365,2011-02,698.0
12367,2011-12,35.2
12370,2010-12,263.38
12370,2011-03,121.19
12370,2011-10,83.08
12371,2011-10,244.08
12372,2011-02,63.93
12372,2011-05,50.66
12372,2011-09,41.480000000000004
12373,2011-02,64.15
12374,2011-11,139.25
12375,2011-09,67.12
12375,2011-11,50.4
12375,2011-12,2.08
12377,2010-12,90.57
12377,2011-01,118.78
12378,2011-08,656.44
12379,2011-06,63.89
12379,2011-07,1.95
12379,2011-09,50.76
12380,2011-06,94.48
12380,2011-09,86.95
12380,2011-10,86.46000000000001
12380,2011-11,87.74
12381,2011-08,254.92
12381,2011-10,10.5
12381,2011-11,90.19
12381,2011-12,61.43
12383,2010-12,49.03
12383,2011-01,76.96
12383,2011-03,83.28999999999999
